username,target_type,target_name,rating,comment
TravelBugRavi,station,MumbaiCSMT,4.8,Absolutely stunning architecture at MumbaiCSMT! Platforms were clean and well-maintained. A pleasure to start a journey from here.
RailExplorerPriya,train,RajdhaniExpress,4.5,The Rajdhani Express was mostly on time. Food quality was good, and the bedding provided was clean. Comfortable journey overall.
StationSeekerAnil,station,NewDelhiRS,2.5,New Delhi RS is always chaotic. Signage could be much better, and cleanliness is a major issue, especially near food stalls. Needs improvement.
JourneyQueenDeepa,train,ChennaiBengaluruShatabdi,4.2,Enjoyed the Chennai-Bengaluru Shatabdi. Seats were comfortable, and the AC worked well. Reached destination promptly.
TrackStarVikram,station,HowrahJn,3.1,Howrah Junction is an iconic station but terribly crowded. Finding the right platform can be a task. Average experience.
NomadNakul,train,LocalMEMU,3.5,The Local MEMU was packed, as usual, but it's a lifeline for daily commuters. Reasonably punctual for a local train.
WanderlustDiya,station,BengaluruCantt,3.8,Bengaluru Cantt has a nice old-world charm. Waiting areas are decent. Could do with more modern amenities though.
PathfinderPooja,train,VandeBharat,4.9,Vande Bharat is a game changer! Super fast, clean, and excellent onboard service. Loved the big windows. Worth the price.
RouteMasterRaj,station,JaipurJn,4.0,Jaipur Jn was quite clean and well-organized. Staff at the inquiry counter were helpful. Good food options available.
VoyageVani,train,KalkaShimlaToyTrain,4.6,The Kalka-Shimla Toy Train journey was breathtaking! Slow, yes, but the views are unparalleled. A must-do experience.
GlobeTrotterGita,station,AhmedabadJn,2.8,Ahmedabad Jn was okay. Cleanliness was average. The prepaid auto-rickshaw stand outside was convenient.
ExpressFanAmit,train,DurontoExpress,3.9,Duronto Express offered a decent non-stop experience. Food was alright, could be better. Toilets needed more frequent cleaning.
LocalLoverLila,station,PuneJn,4.1,Pune Jn is a busy but efficient station. Good connectivity. Platforms were relatively clean during my visit.
ComfortCruiserKaran,train,TejasExpress,4.7,Tejas Express felt very premium. Comfortable seats, personal entertainment screens, and attentive staff. A great way to travel.
BudgetTravellerBina,station,NagpurJn,3.3,Nagpur Jn is a major junction, so expect crowds. Basic facilities are available. Waiting rooms were okay.
LuxuryLinerLokesh,train,GaribRath,2.9,Garib Rath is no-frills, as expected. Seats are a bit cramped, especially with side middle berths. Okay for short distances if on a budget.
SpeedDemonSonia,station,LucknowNR,3.6,Lucknow NR station (Charbagh) has impressive architecture. Platforms were manageable. Ticketing was smooth.
ScenicSeekerSamir,train,DarjeelingHimalayanRailway,4.3,The Darjeeling Himalayan Railway is pure nostalgia! The steam engine, the slow pace... it's all about the journey.
CityHopperChitra,station,BhopalJn,3.9,Bhopal Jn was surprisingly well-maintained. Good cleanliness on platforms. Efficient announcement system.
AdventureAlok,train,JanShatabdi,3.7,Jan Shatabdi offers good value. Seats are comfortable enough for a day journey. Pantry car options were limited but okay.
TravelBugRavi,train,MumbaiDelhiRajdhani,4.6,Another great trip on the Mumbai-Delhi Rajdhani. Punctuality was spot on this time. Consistently good service.
RailExplorerPriya,station,PatnaJn,2.1,Patna Jn was very crowded and cleanliness was a serious concern. Staff seemed overwhelmed. Not a pleasant transit.
StationSeekerAnil,train,SuperfastExpress,3.5,The Superfast Express lived up to its name, mostly. Coach was a bit old but functional. Average journey.
JourneyQueenDeepa,station,KanpurCtrl,3.0,Kanpur Central is a huge and busy station. Navigating it can be confusing. Cleanliness needs significant attention.
TrackStarVikram,train,PassengerTrain,2.2,The Passenger Train was extremely slow and stopped at every small halt. Seats were hard. Only take if no other option.
NomadNakul,station,VaranasiJn,3.7,Varanasi Jn (Cantt) has improved a lot. Better waiting areas and more food stalls. Still very busy.
WanderlustDiya,train,KonkanKanyaExpress,4.4,Konkan Kanya Express through the Konkan route is beautiful! Train was clean and staff were polite. Recommended for the views.
PathfinderPooja,station,SecunderabadJn,4.0,Secunderabad Jn is well managed. Clean platforms and good facilities. Easy to find your way around.
RouteMasterRaj,train,DeccanQueen,4.1,Deccan Queen is a classic! Still maintains a certain charm. Punctual and comfortable for the Mumbai-Pune route.
VoyageVani,station,HyderabadDecan,3.6,Hyderabad Decan (Nampally) is a key station. Decent amenities. Can get very crowded during peak hours.
GlobeTrotterGita,train,PunjabMail,3.8,The Punjab Mail is an old, reliable train. Journey was comfortable, though the coaches felt a bit dated. Food was average.
ExpressFanAmit,station,VisakhapatnamJn,4.3,Visakhapatnam Jn is one of the cleanest stations I've seen. Very well maintained. Good job by the authorities!
LocalLoverLila,train,GrandTrunkExpress,3.2,Grand Trunk Express was delayed by a couple of hours. Coach cleanliness was okay, but toilets were not great.
ComfortCruiserKaran,station,BhubaneswarRS,3.9,Bhubaneswar RS was neat and tidy. Good signage. Staff were generally helpful when I asked for directions.
